Name, Scale, err.Scale, AAE, err.AAE, Red.chisq, A, err.A, B, err.B, alpha.BrC, err.alpha.BrC, Red.chisq.1, A.p, err.A.p, B.p, err.B.p, Red.chisq.2
AIN01, 117752.196555504, 994.664618047189, 1.36379339094811, 0.0330030214905368, 0.190221718870525, 3655.88493055078, 142.711093783672, 3221771.20010034, 170463.622043803, 2.031, 0.564, 0.159548207431366, 2735.36224505754, 242.077501418707, 503899.553834323, 30256.4685162774, 0.195568413314941
AIN03, 128563.905314071, 1487.1717336768, 1.31508744468246, 0.0455521361107762, 0.356632140085881, 7071.89790630548, 126.668199457175, 189820431.798007, 9706990.57545714, 2.711, 0.589, 0.119140355877673, 4698.34428357601, 483.913325636217, 667479.987240971, 60085.3102006282, 0.34494412407531
AIN04, 90760.9438617885, 1051.29286237251, 1.27529596889689, 0.0453953056567158, 0.357589822321071, 6423.08274336629, 197.812349050419, 55662218.1190687, 4958065.87283816, 2.53, 1.013, 0.297868173179534, 4725.8015692085, 476.99366500549, 547126.105487578, 58929.0152611063, 0.407025841519204
AIN05, 243969.71619609, 3280.67242929096, 1.49576683988333, 0.0531787791587768, 0.481846403669328, 3742.75420163691, 49.5302932544616, 214837985.91239, 5243909.61561402, 2.756, 0.274, 0.0546310256789604, 1451.38417739846, 360.950496238041, 583454.735330416, 45893.4949900777, 0.538328934101974
AIN06, 82159.6349521146, 1019.26860359215, 1.31272854657022, 0.0487007914122761, 0.410167965214344, 4337.23122496194, 159.436981686677, 22479853.3994136, 1958411.70810297, 2.412, 0.971, 0.341594312848849, 3067.4944991423, 362.952655825979, 430379.487607984, 45051.637268729, 0.463757656800618
AIN08, 80483.6811644469, 891.00816659473, 1.27080183138071, 0.0432616384668691, 0.326665738259, 5282.60789524423, 254.603232375894, 4612132.54623097, 459080.207124373, 2.1, 1.082, 0.362306189094168, 4364.66029534867, 428.516474198719, 492334.702348124, 52898.8187864157, 0.396560094973858
AIN09, 25695.5573539243, 666.478036668935, 1.38995993252258, 0.104472703149346, 1.78919308507515, 974.023979128933, 20.2475060049092, 1332973624323.3, 110787783817.434, 4.557, 1.279, 0.443195395683213, 469.589150377162, 156.19602315871, 97958.8544340948, 19573.2623953016, 2.24444433779715
AIN11, 1125359.2117398, 21094.7225121205, 1.67569680210982, 0.0744013545959841, 0.935672930088371, 4890.35144627867, 198.161919337933, 810479719.350224, 44828004.1634886, 2.871, 0.611, 0.464320604516308, 135.374067289482, 846.411794338438, 1124577.6471433, 110216.471701191, 1.39207636167499
AIN12, 533903.215055297, 5671.47866883342, 1.64580032182484, 0.0416252794543574, 0.300774001030005, 2039.87989558498, 109.820080268712, 11600913.8678663, 465436.802905014, 2.226, 0.42, 0.232093470105961, 237.428916219413, 265.336806646897, 623485.744948533, 34454.357840062, 0.426071705161809
AIN14, 133207.267214889, 2038.1345401088, 1.28075415253645, 0.0605745836323276, 0.623694776957361, 9999.60422299561, 174.041974071373, 14068096986.1825, 1024956891.74306, 3.429, 0.942, 0.206380166998742, 6616.02881711318, 882.500790422785, 786883.726495986, 109088.64887792, 0.679792399486931
AIN15, 766447.382584619, 19792.8996943918, 1.68657831358305, 0.103389941647123, 1.77364183999884, 3345.79673730865, 173.060617262045, 2771466551.83294, 230106548.346273, 3.161, 0.954, 1.05247634894213, 100, 754.649258024033, 713915.87900935, 98252.2004143903, 2.66997976338027
